nohup: ignoring input
[run] cdlam-repro -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_cdlam_repro_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
/home/xuan/.venv/lib/python3.10/site-packages/accelerate/utils/launch.py:236: UserWarning: Port `29500` is already in use. Accelerate will attempt to launch in a standalone-like mode by finding an open port automatically for this session. If this current attempt fails, or for more control in future runs, please specify a different port (e.g., `--main_process_port <your_chosen_port>`) or use `--main_process_port 0` for automatic selection in your launch command or Accelerate config file.
  warnings.warn(
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.0, pctr=0.1) | recon=1.0
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/853 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (17): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_proj.0.bias, action_proj.0.weight, action_proj.2.bias, action_proj.2.weight ...
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step     50 | loss 0.9632 | mse 0.0050 | kl 3.235412 | act 0.9127 | zero 0.2687 | pctr 2.5768 (pos 18.9, neg 4.6, tau 10.0, b -10.00) | lr 5.00e-06
step    100 | loss 0.9114 | mse 0.0013 | kl 2.198937 | act 0.8893 | zero 0.0153 | pctr 0.8977 (pos 14.9, neg 8.1, tau 10.0, b -10.00) | lr 1.00e-05
step    150 | loss 1.0000 | mse 0.0011 | kl 3.933453 | act 0.9636 | zero 0.0246 | pctr 0.8852 (pos 13.0, neg 4.9, tau 10.0, b -10.00) | lr 9.99e-06
step    200 | loss 0.8950 | mse 0.0010 | kl 6.366354 | act 0.8411 | zero 0.0271 | pctr 0.9199 (pos 16.0, neg 9.5, tau 10.0, b -10.00) | lr 9.96e-06
step    250 | loss 1.1610 | mse 0.0010 | kl 11.467101 | act 1.0870 | zero 0.0131 | pctr 0.8717 (pos 14.6, neg 3.9, tau 10.0, b -10.00) | lr 9.90e-06
step    300 | loss 0.9328 | mse 0.0009 | kl 12.286425 | act 0.8544 | zero 0.0126 | pctr 0.7519 (pos 12.8, neg 5.3, tau 10.0, b -10.00) | lr 9.83e-06
step    350 | loss 0.9137 | mse 0.0009 | kl 14.007989 | act 0.8203 | zero 0.0165 | pctr 0.7761 (pos 15.4, neg 5.8, tau 10.0, b -10.00) | lr 9.73e-06
step    400 | loss 0.8094 | mse 0.0009 | kl 15.517975 | act 0.7118 | zero 0.0129 | pctr 0.6742 (pos 13.0, neg 5.8, tau 10.0, b -9.99) | lr 9.62e-06
