[run] idm -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_idm_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.0, reverse=0.0, hardneg=0.0, opposite=0.0, pctr=0.0) | recon=0.0
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
Starting training from step 0 -> 5000
step     50 | loss 1.3748 | mse 0.0083 | kl 3.628595 | act 1.3662 | lr 5.00e-06
step    100 | loss 1.0734 | mse 0.0083 | kl 3.748544 | act 1.0640 | lr 1.00e-05
step    150 | loss 1.2683 | mse 0.0088 | kl 5.680210 | act 1.2528 | lr 9.99e-06
step    200 | loss 1.0415 | mse 0.0096 | kl 9.303798 | act 1.0151 | lr 9.96e-06
step    250 | loss 0.9056 | mse 0.0101 | kl 10.176490 | act 0.8763 | lr 9.90e-06
step    300 | loss 1.3765 | mse 0.0114 | kl 13.817172 | act 1.3361 | lr 9.83e-06
step    350 | loss 0.9582 | mse 0.0112 | kl 15.935574 | act 0.9114 | lr 9.73e-06
step    400 | loss 1.0199 | mse 0.0116 | kl 16.538945 | act 0.9712 | lr 9.62e-06
step    450 | loss 1.2732 | mse 0.0111 | kl 14.177511 | act 1.2314 | lr 9.48e-06
step    500 | loss 0.9683 | mse 0.0114 | kl 14.867055 | act 0.9244 | lr 9.33e-06
[val] step    500 | loss 0.0391 | mse 0.0056 | psnr 22.53 dB
step    550 | loss 0.8289 | mse 0.0118 | kl 17.594554 | act 0.7768 | lr 9.16e-06
step    600 | loss 1.0447 | mse 0.0121 | kl 18.170839 | act 0.9909 | lr 8.97e-06
