[run] ours-r-zero-opposite -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r_zero_opposite_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.1)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step     50 | loss 1.3171 | mse 0.0058 | kl 3.580852 | act 1.2685 | zero 0.3348 | opp 0.1480 (margin -0.017, anchors 3.5) | lr 2.50e-06
step    100 | loss 0.8527 | mse 0.0016 | kl 2.164097 | act 0.8425 | zero 0.0114 | opp 0.1526 (margin 0.008, anchors 3.7) | lr 5.00e-06
step    150 | loss 0.9163 | mse 0.0011 | kl 3.033611 | act 0.9028 | zero 0.0150 | opp 0.1264 (margin 0.040, anchors 3.6) | lr 7.50e-06
step    200 | loss 0.8479 | mse 0.0008 | kl 4.544171 | act 0.8259 | zero 0.0356 | opp 0.1541 (margin 0.125, anchors 3.8) | lr 1.00e-05
step    250 | loss 0.9333 | mse 0.0010 | kl 8.626453 | act 0.8967 | zero 0.0389 | opp 0.1734 (margin 0.023, anchors 3.5) | lr 1.00e-05
step    300 | loss 0.8904 | mse 0.0009 | kl 8.899325 | act 0.8515 | zero 0.0455 | opp 0.1569 (margin 0.001, anchors 3.4) | lr 9.99e-06
step    350 | loss 1.5406 | mse 0.0010 | kl 13.630596 | act 1.4872 | zero 0.0331 | opp 0.1643 (margin 0.051, anchors 3.8) | lr 9.98e-06
step    400 | loss 0.9079 | mse 0.0010 | kl 15.550441 | act 0.8462 | zero 0.0226 | opp 0.1930 (margin 0.003, anchors 3.9) | lr 9.96e-06
