nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step     50 | loss 1.3228 | mse 0.0058 | kl 3.615911 | act 1.2685 | zero 0.3360 | opp 0.1668 (margin 0.002, anchors 4.5) | lr 2.50e-06
step    100 | loss 0.8803 | mse 0.0016 | kl 2.435783 | act 0.8453 | zero 0.0303 | opp 0.2086 (margin 0.010, anchors 4.1) | lr 5.00e-06
step    150 | loss 0.9561 | mse 0.0011 | kl 2.875182 | act 0.9126 | zero 0.0432 | opp 0.1507 (margin -0.028, anchors 3.7) | lr 7.50e-06
step    200 | loss 0.9313 | mse 0.0008 | kl 2.743939 | act 0.8694 | zero 0.0949 | opp 0.1593 (margin 0.042, anchors 4.1) | lr 1.00e-05
step    250 | loss 1.0350 | mse 0.0010 | kl 4.296155 | act 0.9532 | zero 0.0746 | opp 0.1722 (margin -0.052, anchors 4.4) | lr 1.00e-05
step    300 | loss 1.0165 | mse 0.0008 | kl 5.474796 | act 0.9190 | zero 0.0680 | opp 0.1710 (margin -0.024, anchors 3.9) | lr 9.99e-06
step    350 | loss 1.6799 | mse 0.0010 | kl 9.307255 | act 1.5772 | zero 0.0398 | opp 0.1391 (margin 0.031, anchors 4.1) | lr 9.98e-06
step    400 | loss 1.0536 | mse 0.0011 | kl 11.132733 | act 0.9086 | zero 0.0506 | opp 0.1806 (margin -0.001, anchors 4.5) | lr 9.96e-06
