run,dirprobe_nll_base,dirprobe_nll_full,dirprobe_nll_gain,dirprobe_null_mean,dirprobe_null_std,dirprobe_gain_vs_null,dirprobe_gain_ci_lo,dirprobe_gain_ci_hi,dirprobe_gain_perm_p,dirprobe_auc_base,dirprobe_auc_full,dirprobe_n_tasks,dirprobe_n_samples,opp_cls_bal_acc,opp_cls_bal_acc_static,static_shortcut_gap
raw_lam,1.0987878162529148,1.4133443219370057,-0.3145565056840909,-0.3919130003757626,0.04552963234294,0.07735649469167172,-0.37603798023747165,-0.25573093501029437,0.05,0.5537290692089055,0.5632413546233606,52.0,3617.0,0.5450826193614654,0.6502080329003406,-0.10512541353887517
cdlam_official,1.0480962325492673,1.350858416465351,-0.30276218391608367,-0.3838424359481901,0.045562774958643,0.08108025203210645,-0.35861987875507406,-0.249345177498421,0.0,0.5680386475794782,0.5694779884412163,52.0,3617.0,0.5531012711301172,0.648565231257539,-0.09546396012742175
cdlam_repro_5k,1.0863613573845814,1.2459344967798553,-0.15957313939527396,-0.21419475613350128,0.03013726782648591,0.054621616738227324,-0.2140946103540951,-0.1120986013662239,0.1,0.5912565664477086,0.589615451688996,52.0,3617.0,0.5239357352338121,0.6914995026773872,-0.16756376744357515
kl_ft_l40_full_5k,1.058667848612276,1.2533963123783078,-0.1947284637660318,-0.24484533720248308,0.02756522844488267,0.05011687343645127,-0.24871853861694604,-0.14344045554015183,0.05,0.5714463165173121,0.5729603091316839,52.0,3617.0,0.5380181827297211,0.6662617041222811,-0.12824352139256
ours_a_zero_5k,1.0936875766094618,1.2725192437040393,-0.17883166709457754,-0.21601544565913783,0.04047965779702995,0.03718377856456029,-0.2367908729921252,-0.1272648949975262,0.2,0.5770335718721987,0.5796064567647032,52.0,3617.0,0.5249111108486109,0.6681699321122397,-0.14325882126362888
ours_r2_opp_l01_5k,1.0986287156440242,1.2385443701092893,-0.1399156544652651,-0.23754820719290076,0.038542343595712854,0.09763255272763566,-0.19035007319388048,-0.09005535490944624,0.0,0.5854138430049166,0.5924415100458619,52.0,3617.0,0.5310885060885062,0.6717686470090318,-0.1406801409205256
kl_ft_l40_full_5k_lf,1.2359667924664368,1.3229020343909108,-0.086935241924474,-0.13237235571252226,0.03222229688986088,0.04543711378804827,-0.13559767280437648,-0.03762230259362009,0.05,0.5629032800878688,0.5645217545609467,52.0,3617.0,0.5917448791246869,0.657173417509956,-0.06542853838526907
ours_r2_opp_l01_5k_lf,1.0625011985997797,1.1191674225100476,-0.05666622391026799,-0.12016455356828173,0.03209369727855782,0.06349832965801375,-0.09449146317612571,-0.014625570975018695,0.05,0.6167192390416428,0.633422874643186,52.0,3617.0,0.6004982395607396,0.6802746986641216,-0.07977645910338205
idm_5k,1.1230888078510237,1.264966092906986,-0.1418772850559622,-0.23928580842808406,0.03768647532053745,0.09740852337212186,-0.18976742478093245,-0.09548580184232777,0.0,0.5706147449449444,0.5810791461552818,52.0,3617.0,0.5344098375348375,0.6775220271614504,-0.14311218962661287
kl_ft_l40_full_5k_s1,1.1234329208764595,1.3037505987908269,-0.18031767791436737,-0.2306281005352699,0.0309508731298572,0.05031042262090252,-0.23419005366540815,-0.1270468976291339,0.05,0.5790525346411668,0.5766725511012664,52.0,3617.0,0.5302604479287172,0.6502630703351856,-0.12000262240646842
kl_ft_l40_full_5k_s2,1.092943982179341,1.2567707473100436,-0.1638267651307026,-0.2409355131040241,0.025778986127895386,0.07710874797332151,-0.21286249441506724,-0.11511090150477203,0.0,0.5784228899406764,0.5841274770461158,52.0,3617.0,0.5380670910718988,0.6691502429483198,-0.13108315187642106
ours_a_zero_5k_s1,1.127652767233259,1.285718896891511,-0.15806612965825195,-0.21406458367303852,0.029197269865700926,0.055998454014786564,-0.2165548350436408,-0.10442911114166128,0.0,0.5725682344554552,0.5767086531783596,52.0,3617.0,0.5220950022632714,0.6708228513516974,-0.14872784908842596
ours_a_zero_5k_s2,1.0693282777587176,1.2534577719568967,-0.18412949419817903,-0.21578850453625456,0.03197287664778181,0.03165901033807553,-0.231202327764908,-0.13597835157723492,0.2,0.5882851819330521,0.5851892758474044,52.0,3617.0,0.5369814801305186,0.657223281021358,-0.12024180089083936
ours_r2_opp_l01_5k_s1,0.9797476228699975,1.169054722610972,-0.18930709974097448,-0.2412691432223497,0.02790497869079877,0.05196204348137523,-0.24146858061656265,-0.1396681124218381,0.0,0.6228204900703991,0.6151683794756633,52.0,3617.0,0.5294600053013514,0.6730347676261139,-0.14357476232476252
ours_r2_opp_l01_5k_s2,1.098338297761919,1.2563700207335025,-0.15803172297158352,-0.2175459973925645,0.03248419374354152,0.05951427442098098,-0.2056588777287835,-0.11162673356535287,0.05,0.5825336315324108,0.5803075407448655,52.0,3617.0,0.5551243794032256,0.6618569507992584,-0.10673257139603287
